,RMSE
"('AIXBTUSDT', 'Prophet')",0.3530064518913064
"('AIXBTUSDT', 'LSTM')",0.06850560457512868
"('BONKUSDT', 'Prophet')",1.6625638764576966e-05
"('BONKUSDT', 'LSTM')",2.503699520455939e-05
"('ENAUSDT', 'Prophet')",0.2479900606298481
"('ENAUSDT', 'LSTM')",0.0530818526300509
"('NEIROUSDT', 'Prophet')",0.0002860754144732555
"('NEIROUSDT', 'LSTM')",0.0005152913335547617
"('PEPEUSDT', 'Prophet')",5.654095468474784e-06
"('PEPEUSDT', 'LSTM')",4.677820671645386e-06
"('PNUTUSDT', 'Prophet')",0.07726118651417883
"('PNUTUSDT', 'LSTM')",0.20970036672048228
"('TRUMPUSDT', 'Prophet')",1.9360289892086209
"('TRUMPUSDT', 'LSTM')",4.9860801456249675
"('USUALUSDT', 'Prophet')",0.19406800748003655
"('USUALUSDT', 'LSTM')",0.10909908299470747
"('VTHOUSDT', 'Prophet')",0.0022832845696735995
"('VTHOUSDT', 'LSTM')",0.0017026952764286364
"('WIFUSDT', 'Prophet')",1.9963216153375862
"('WIFUSDT', 'LSTM')",0.23071485580016832
